Date,USA IMI/INDUSTRIALS
1/6/1998,468.3385484
1/7/1998,468.8730489
1/8/1998,463.6535243
1/9/1998,450.2699799
1/12/1998,454.1985408
1/13/1998,458.6844549
1/14/1998,460.3438041
1/15/1998,455.9644462
1/16/1998,459.3327901
1/19/1998,459.3327901
1/20/1998,465.879653
1/21/1998,464.3860587
1/22/1998,462.604786
1/23/1998,458.3121741
1/26/1998,458.9767153
1/27/1998,461.4584088
1/28/1998,467.3458175
1/29/1998,472.5531322
1/30/1998,471.6884071
2/2/1998,481.0870752
2/3/1998,482.1829859
2/4/1998,483.6448698
2/5/1998,483.0580264
2/6/1998,487.1101865
2/9/1998,487.3576442
2/10/1998,491.340961
2/11/1998,493.255916
2/12/1998,496.1831894
2/13/1998,495.1608666
2/16/1998,495.1608666
2/17/1998,497.0081322
2/18/1998,498.348311
2/19/1998,495.9076135
2/20/1998,497.224638
2/23/1998,497.3531114
2/24/1998,493.4971158
2/25/1998,499.3408648
2/26/1998,503.0630558
2/27/1998,504.1365805
3/2/1998,502.5282182
3/3/1998,504.9329142
3/4/1998,504.3271205
3/5/1998,500.8066815
3/6/1998,509.7675066
3/9/1998,509.0824844
3/10/1998,512.1320372
3/11/1998,514.7756748
3/12/1998,516.1176306
3/13/1998,515.8135874
3/16/1998,521.5729518
3/17/1998,523.5375224
3/18/1998,522.912556
3/19/1998,524.552675
3/20/1998,527.7251038
3/23/1998,522.9611676
3/24/1998,529.0736202
3/25/1998,527.9119813
3/26/1998,527.5381462
3/27/1998,527.2599254
3/30/1998,527.0966494
3/31/1998,532.5607071
4/1/1998,534.9811714
4/2/1998,540.650492
4/3/1998,540.1987631
4/6/1998,537.3954587
4/7/1998,534.099251
4/8/1998,530.7633131
4/9/1998,533.8658711
4/10/1998,533.8658711
4/13/1998,533.7340908
4/14/1998,537.5266394
4/15/1998,539.8173397
4/16/1998,531.0045984
4/17/1998,536.3482585
4/20/1998,535.6904882
4/21/1998,537.237943
4/22/1998,535.0745548
4/23/1998,529.0120062
4/24/1998,523.0730279
4/27/1998,512.1306665
4/28/1998,510.9466059
4/29/1998,517.1324992
4/30/1998,526.6669542
5/1/1998,527.6967513
5/4/1998,528.4674691
5/5/1998,524.1247165
5/6/1998,520.0087379
5/7/1998,515.9325245
5/8/1998,521.1789517
5/11/1998,519.5329495
5/12/1998,520.58464
5/13/1998,523.4669943
5/14/1998,523.8855399
5/15/1998,519.0364021
5/18/1998,515.9457826
5/19/1998,518.0817815
5/20/1998,522.3577621
5/21/1998,521.2210403
5/22/1998,517.4335595
5/25/1998,517.4335595
5/26/1998,508.7753869
5/27/1998,505.662408
5/28/1998,508.620641
5/29/1998,508.2292595
6/1/1998,505.3572271
6/2/1998,503.2741993
6/3/1998,499.4606862
6/4/1998,502.564621
6/5/1998,507.8497181
6/8/1998,509.8301422
6/9/1998,512.3421706
6/10/1998,507.7869244
6/11/1998,500.7645686
6/12/1998,500.5145796
6/15/1998,491.9432131
6/16/1998,495.277941
6/17/1998,503.3990883
6/18/1998,503.2975339
6/19/1998,499.8380057
6/22/1998,499.974473
6/23/1998,504.0843702
6/24/1998,509.2153148
6/25/1998,509.0227416
6/26/1998,510.5390299
6/29/1998,513.1565953
6/30/1998,516.5982842
7/1/1998,521.8745739
7/2/1998,520.8019214
7/3/1998,520.8019214
7/6/1998,524.6003033
7/7/1998,525.1088475
7/8/1998,528.2641697
