Date,USA IMI/INFORMATION TECH
10/13/1997,767.8479336
10/14/1997,759.1727331
10/15/1997,753.8191727
10/16/1997,736.6619448
10/17/1997,717.2484111
10/20/1997,727.3356585
10/21/1997,744.115731
10/22/1997,740.440406
10/23/1997,720.3295995
10/24/1997,703.4693784
10/27/1997,645.6576564
10/28/1997,689.5156332
10/29/1997,684.5734129
10/30/1997,664.5422577
10/31/1997,679.7898732
11/3/1997,700.7976217
11/4/1997,704.2066738
11/5/1997,705.9546589
11/6/1997,693.7116868
11/7/1997,683.2465935
11/10/1997,671.3553492
11/11/1997,668.4255139
11/12/1997,646.3593816
11/13/1997,661.3268524
11/14/1997,677.1097928
11/17/1997,696.4103592
11/18/1997,685.9179874
11/19/1997,685.3949278
11/20/1997,700.9531801
11/21/1997,696.5610881
11/24/1997,676.4172557
11/25/1997,681.4538744
11/26/1997,685.9834177
11/27/1997,685.9834177
11/28/1997,688.4603498
12/1/1997,708.8021091
12/2/1997,691.0471353
12/3/1997,692.5597344
12/4/1997,687.4475054
12/5/1997,702.4385822
12/8/1997,710.537404
12/9/1997,688.1750732
12/10/1997,671.782997
12/11/1997,646.0497434
12/12/1997,632.4675736
12/15/1997,632.6858613
12/16/1997,646.9260576
12/17/1997,642.1870539
12/18/1997,629.2921839
12/19/1997,633.7848941
12/22/1997,640.6052285
12/23/1997,625.5154615
12/24/1997,620.2604543
12/25/1997,620.2604543
12/26/1997,625.8139096
12/29/1997,639.9319331
12/30/1997,651.6757067
12/31/1997,654.0970676
1/1/1998,654.0970676
1/2/1998,666.1686684
1/5/1998,673.1469196
1/6/1998,667.0161713
1/7/1998,656.3745958
1/8/1998,656.6996616
1/9/1998,627.4836832
1/12/1998,632.5572898
1/13/1998,653.7020785
1/14/1998,653.1599308
1/15/1998,652.1621916
1/16/1998,655.6763026
1/19/1998,655.6763026
1/20/1998,672.3998201
1/21/1998,669.8380085
1/22/1998,663.3669318
1/23/1998,664.6089728
1/26/1998,657.7684498
1/27/1998,667.7637229
1/28/1998,685.6601
1/29/1998,689.4509026
1/30/1998,690.502958
2/2/1998,708.9787773
2/3/1998,719.212065
2/4/1998,727.8016701
2/5/1998,724.7001052
2/6/1998,729.2005723
2/9/1998,726.0509702
2/10/1998,737.6407342
2/11/1998,736.6108892
2/12/1998,736.9913408
2/13/1998,733.983081
2/16/1998,733.983081
2/17/1998,727.5086021
2/18/1998,736.2884343
2/19/1998,745.713201
2/20/1998,745.1932242
2/23/1998,759.2279999
2/24/1998,748.8624913
2/25/1998,765.0576775
2/26/1998,769.6998199
2/27/1998,763.9157065
3/2/1998,751.0442979
3/3/1998,744.8300755
3/4/1998,743.8222833
3/5/1998,718.2624071
3/6/1998,734.4092085
3/9/1998,713.5498771
3/10/1998,724.8684408
3/11/1998,731.130435
3/12/1998,737.4146123
3/13/1998,740.9699402
3/16/1998,746.6959389
3/17/1998,737.637708
3/18/1998,742.099426
3/19/1998,746.0943525
3/20/1998,737.2835519
3/23/1998,742.973584
3/24/1998,753.2193353
3/25/1998,765.6118262
3/26/1998,768.3833239
3/27/1998,766.4943136
3/30/1998,763.2311054
3/31/1998,772.6323441
4/1/1998,781.0787692
4/2/1998,784.0128075
4/3/1998,784.7012409
4/6/1998,768.4993331
4/7/1998,749.2563715
4/8/1998,757.3474291
4/9/1998,763.3367821
4/10/1998,763.3367821
4/13/1998,760.5715238
4/14/1998,772.2836063
4/15/1998,788.1848359
4/16/1998,781.0651019
4/17/1998,784.7020314
4/20/1998,801.3729473
4/21/1998,818.0001721
4/22/1998,828.5253731
4/23/1998,811.2890729
4/24/1998,813.3568904
4/27/1998,793.5739988
4/28/1998,797.3916568
4/29/1998,808.7431638
4/30/1998,815.3670711
5/1/1998,817.3460561
5/4/1998,817.8842017
5/5/1998,815.8439913
5/6/1998,810.9610509
5/7/1998,804.2040489
5/8/1998,821.8298679
5/11/1998,809.6524641
5/12/1998,818.9196524
5/13/1998,825.478781
5/14/1998,818.6028465
5/15/1998,804.4818964
5/18/1998,795.9050761
5/19/1998,803.9206535
5/20/1998,792.5135466
5/21/1998,784.6740292
5/22/1998,775.9760928
5/25/1998,775.9760928
5/26/1998,762.2448793
5/27/1998,767.3527892
5/28/1998,767.9729728
5/29/1998,754.2846665
6/1/1998,734.3299998
6/2/1998,746.5393752
6/3/1998,733.7852941
6/4/1998,751.9258269
6/5/1998,761.1028762
6/8/1998,763.605346
6/9/1998,774.4767724
6/10/1998,759.2830322
6/11/1998,747.7035533
6/12/1998,747.5270898
6/15/1998,733.9362636
6/16/1998,754.0245408
6/17/1998,758.7107246
6/18/1998,756.8001388
6/19/1998,759.588869
6/22/1998,774.7270293
6/23/1998,799.20328
6/24/1998,815.761732
6/25/1998,808.8547573
6/26/1998,812.8337467
6/29/1998,823.9307512
6/30/1998,822.5870394
7/1/1998,830.855833
7/2/1998,814.8066544
7/3/1998,814.8066544
7/6/1998,821.9729347
7/7/1998,823.0698067
7/8/1998,838.7294808
7/9/1998,843.0858676
